,a,b,c,d,e,id
1011,300,300,5.2,300,21900,2
1012,300,300,11.6,300,300,2
1013,600,300,14,600,600,2
1014,600,300,16.4,600,300,2
1015,600,300,12.4,600,3000,2
1016,300,600,14.8,300,6300,2
1017,600,600,23.2,600,30900,2
1018,900,300,32.8,900,4500,2
1019,900,600,18.4,900,0,2
1020,1200,1200,18.4,1200,0,2
1021,300,0,13.6,300,2700,2
1022,300,600,20,300,6300,2
1023,600,300,16.4,600,2400,2
1024,600,300,15.2,600,1200,2
1025,600,300,21.6,600,4500,2
1026,600,600,12,600,3000,2
1027,300,300,72.8,300,14400,2
1028,600,1200,87.6,600,0,2
1029,600,1200,87.6,600,2100,2
1030,300,300,8,300,63300,2
1031,300,0,17.2,300,6900,2
1032,600,300,20.4,600,7800,2
1033,600,300,8.4,600,3600,2
1034,600,900,8.4,600,4200,2
1035,300,300,4,300,1500,2
1036,600,300,6,600,0,2
1037,600,300,12.8,600,300,2
1038,600,300,8,600,0,2
1039,600,300,12.8,600,1800,2
1040,300,300,46.4,300,2700,2
1041,600,300,30.8,600,0,2
1042,900,600,42.8,900,600,2
1043,600,600,34,600,1200,2
1044,300,600,51.2,300,0,2
1045,600,1200,34,600,0,2
1046,900,1200,23.2,900,0,2
1047,600,600,16,600,1200,2
1048,600,300,10.4,600,8700,2
1049,600,600,13.2,600,17100,2
1050,300,300,10,300,7500,2
1051,600,300,75.2,600,4800,2
1052,900,900,75.2,900,0,2
1053,600,300,53.2,600,300,2
1054,600,900,64,600,300,2
1055,600,600,53.2,600,0,2
1056,600,300,75.2,600,1200,2
1057,600,0,21.6,600,2400,2
1058,1800,300,69.2,1800,5400,2
1059,600,900,58.8,600,0,2
1060,300,300,5.6,300,41100,2
1061,300,0,4.4,300,0,2
1062,300,300,5.2,300,0,2
1063,300,0,4.8,300,0,2
1064,600,300,6.8,600,2700,2
1065,600,300,14.4,600,300,2
1066,300,300,42,300,6300,2
1067,600,300,19.6,600,27900,2
1068,600,300,67.6,600,1500,2
1069,600,600,38.4,600,0,2
1070,1200,300,21.2,1200,0,2
1071,600,300,21.2,600,0,2
