,a,b,c,d,e,id
2069,300,300,9.2,300,0,2
2070,300,900,26,300,300,2
2071,300,0,30.8,300,0,2
2072,300,0,4.4,300,900,2
2073,300,300,30,300,0,2
2074,300,900,13.2,300,600,2
2075,300,900,30,300,300,2
2076,300,900,30,300,0,2
2077,300,300,30,300,0,2
2078,300,0,19.6,300,300,2
2079,300,300,35.6,300,900,2
2080,600,300,10.8,600,0,2
2081,600,900,6.4,600,0,2
2082,300,300,35.6,300,0,2
2083,300,0,3.6,300,300,2
2084,600,300,9.2,600,16200,2
2085,900,300,40,900,0,2
2086,300,300,9.2,300,0,2
2087,1200,300,12,1200,600,2
2088,300,0,4,300,1500,2
2089,300,300,4,300,1800,2
2090,300,0,3.6,300,4800,2
2091,300,0,4.4,300,0,2
2092,300,300,4.4,300,2400,2
2093,300,300,4,300,1800,2
2094,300,0,3.6,300,1800,2
2095,300,0,3.6,300,300,2
2096,300,0,4,300,2100,2
2097,300,0,4,300,300,2
2098,300,0,4.8,300,1800,2
2099,300,0,4.4,300,0,2
2100,300,600,7.6,300,300,2
2101,300,300,5.2,300,3000,2
2102,300,300,5.2,300,0,2
2103,300,0,4,300,0,2
2104,2400,300,9.2,2400,15900,2
2105,600,1200,36,600,0,2
2106,600,1200,23.2,600,0,2
2107,300,600,23.2,300,0,2
2108,600,300,28.206,600,300,2
2109,1500,300,50.6,1500,0,2
2110,900,300,21.4,900,900,2
2111,600,600,27,600,600,2
2112,600,300,38.2,600,0,2
2113,600,300,6.6,600,300,2
2114,300,900,17.00333333,300,900,2
2115,1200,1200,8.8,1200,600,2
2116,600,300,8.8,600,0,2
2117,600,300,4.4,600,0,2
2118,600,300,6.8,600,0,2
2119,600,300,6.8,600,0,2
2120,600,300,6.8,600,0,2
2121,600,1500,8.8,600,0,2
2122,600,300,3.6,600,0,2
2123,300,0,4.4,300,2700,2
2124,300,0,8.4,300,22500,2
2125,300,300,6.4,300,5100,2
2126,300,0,3.6,300,0,2
2127,600,300,13.6,600,2100,2
2128,600,300,11.2,600,0,2
2129,600,300,5.2,600,0,2
2130,300,300,11.2,300,3300,2
2131,600,300,20.4,600,0,2
2132,600,300,30,600,3300,2
2133,600,300,24.8,600,2100,2
2134,300,600,14,300,7500,2
2135,300,300,5.2,300,10200,2
2136,600,300,11.6,600,300,2
2137,600,300,8.8,600,0,2
2138,600,600,11.6,600,300,2
2139,600,300,9.2,600,600,2
2140,1500,600,7.6,1500,0,2
2141,600,300,7.6,600,0,2
2142,600,300,4.4,600,0,2
2143,300,300,4,300,31800,2
2144,600,300,6.4,600,1200,2
2145,300,0,4,300,1800,2
2146,300,300,4.8,300,1200,2
2147,300,0,3.6,300,1800,2
2148,300,300,4,300,900,2
2149,600,300,5.2,600,0,2
2150,300,0,3.6,300,0,2
2151,300,300,6.4,300,300,2
2152,300,0,7.2,300,1500,2
2153,300,0,5.2,300,0,2
2154,600,300,13.6,600,1500,2
2155,300,300,5.6,300,19800,2
2156,300,600,7.2,300,0,2
2157,600,300,10.4,600,3000,2
2158,600,300,15.2,600,0,2
2159,600,300,12,600,0,2
2160,600,900,23.2,600,0,2
2161,300,300,4.8,300,24000,2
2162,600,300,4,600,2700,2
2163,300,300,4.4,300,900,2
2164,300,0,4.8,300,3600,2
2165,300,0,4,300,1200,2
2166,300,600,6,300,7200,2
2167,600,300,5.2,600,300,2
2168,300,0,4,300,1200,2
2169,300,300,5.2,300,19200,2
2170,300,0,5.2,300,0,2
2171,300,300,5.2,300,600,2
2172,300,0,4,300,0,2
2173,600,300,5.2,600,0,2
2174,300,300,4,300,0,2
2175,300,0,4,300,0,2
2176,300,300,4,300,300,2
2177,600,300,6.8,600,600,2
2178,300,0,31.6,300,0,2
2179,600,300,8,600,0,2
2180,300,300,4.8,300,0,2
2181,600,300,4.8,600,0,2
2182,300,0,3.6,300,0,2
2183,600,300,8,600,300,2
2184,1200,300,22.4,1200,0,2
2185,300,0,19.2,300,0,2
2186,300,0,4.4,300,17100,2
2187,600,300,14.8,600,900,2
2188,600,300,4.8,600,29400,2
2189,300,300,4.8,300,0,2
2190,300,300,6,300,0,2
2191,300,0,4.4,300,0,2
2192,300,300,5.2,300,0,2
2193,300,600,5.2,300,300,2
2194,300,0,4.8,300,900,2
2195,600,300,5.6,600,0,2
2196,300,300,6,300,900,2
2197,300,0,4.8,300,18600,2
2198,300,300,4.8,300,0,2
2199,600,300,4.8,600,0,2
2200,600,300,4.8,600,0,2
2201,300,0,4.8,300,0,2
2202,300,900,30,300,600,2
2203,300,0,10.8,300,900,2
2204,300,0,3.6,300,42000,2
2205,600,300,7.6,600,1500,2
2206,300,300,4.8,300,0,2
2207,300,0,3.6,300,0,2
2208,1500,900,5.2,1500,300,2
2209,300,300,5.2,300,0,2
2210,600,300,7.2,600,0,2
2211,300,600,45.6,300,900,2
2212,300,1200,26,300,0,2
2213,300,900,26,300,300,2
2214,600,300,14.4,600,0,2
2215,300,0,3.6,300,0,2
2216,300,300,7.2,300,0,2
2217,600,300,8.8,600,0,2
2218,600,600,6,600,8400,2
2219,300,300,4.4,300,0,2
2220,300,0,4,300,0,2
2221,300,0,4,300,300,2
2222,300,0,4,300,0,2
2223,300,0,5.6,300,0,2
2224,300,0,3.6,300,2700,2
2225,300,900,18.4,300,300,2
2226,600,300,12.4,600,3600,2
2227,600,300,12.4,600,0,2
2228,300,0,5.2,300,31800,2
2229,300,300,7.2,300,3000,2
2230,300,300,7.2,300,3000,2
2231,600,300,11.2,600,300,2
2232,300,0,4,300,2100,2
2233,300,0,4,300,900,2
2234,300,0,4,300,900,2
2235,300,300,7.2,300,900,2
2236,300,900,12,300,3300,2
2237,300,0,8.4,300,300,2
2238,300,0,8.4,300,0,2
2239,300,0,8.4,300,0,2
2240,300,300,10,300,900,2
2241,300,300,14.8,300,0,2
2242,300,300,14.8,300,0,2
2243,300,300,18.8,300,1200,2
2244,300,300,17.2,300,9900,2
2245,600,300,24.8,600,7500,2
2246,300,600,24.8,300,1200,2
2247,600,300,24.8,600,300,2
2248,300,0,4.4,300,11700,2
2249,300,0,5.6,300,9600,2
2250,300,0,3.6,300,1800,2
2251,300,0,5.6,300,3600,2
2252,900,300,4.4,900,900,2
2253,300,300,5.2,300,0,2
2254,300,300,4.8,300,2400,2
2255,300,300,4,300,600,2
2256,300,300,4.8,300,1800,2
2257,300,300,4.4,300,600,2
2258,300,300,4.8,300,2700,2
2259,300,900,6.4,300,0,2
2260,300,300,4.8,300,300,2
2261,300,0,4.4,300,300,2
2262,300,300,6,300,600,2
2263,300,300,4.8,300,600,2
2264,300,0,6,300,3900,2
2265,600,300,12,600,0,2
2266,300,0,12,300,1200,2
2267,300,300,4.8,300,3600,2
2268,300,0,20.4,300,10500,2
2269,300,0,8.4,300,6900,2
2270,300,0,4,300,0,2
2271,1200,900,13.6,1200,0,2
2272,600,300,13.6,600,0,2
2273,300,300,10.8,300,9600,2
2274,300,300,7.2,300,7500,2
2275,300,600,12.8,300,4200,2
2276,600,300,10.8,600,2100,2
2277,300,300,6.8,300,6300,2
2278,300,300,6.8,300,3600,2
2279,600,300,8.8,600,0,2
2280,300,300,18,300,28800,2
2281,300,0,8,300,22200,2
2282,300,0,5.2,300,1200,2
2283,300,0,15.2,300,900,2
2284,300,0,5.2,300,2400,2
2285,300,300,10.4,300,900,2
2286,600,300,12.4,600,1500,2
2287,300,300,12.4,300,900,2
2288,300,300,9.2,300,6600,2
2289,300,300,8,300,1200,2
2290,300,300,6.4,300,4200,2
2291,300,0,4,300,29400,2
2292,300,300,4.8,300,900,2
2293,300,300,6.4,300,4800,2
2294,300,0,8.4,300,0,2
2295,300,300,6.4,300,600,2
2296,600,300,6.4,600,300,2
2297,300,300,4.8,300,0,2
2298,600,300,6.4,600,0,2
2299,600,300,6.4,600,0,2
2300,600,300,8.4,600,0,2
2301,600,300,5.6,600,0,2
2302,600,300,6.4,600,0,2
2303,300,300,4.4,300,0,2
2304,300,0,5.6,300,1500,2
2305,300,300,4.4,300,3300,2
2306,600,300,8.4,600,1200,2
2307,600,300,8.4,600,2100,2
2308,300,300,12.8,300,1800,2
2309,600,300,8.4,600,3900,2
2310,600,300,8.4,600,1800,2
2311,300,300,6,300,15600,2
2312,300,300,6,300,0,2
2313,600,300,9.6,600,0,2
2314,300,0,3.6,300,1200,2
2315,600,300,8,600,0,2
2316,300,0,3.6,300,0,2
2317,300,300,4.4,300,1500,2
2318,300,300,14.4,300,900,2
2319,600,300,10.4,600,2400,2
2320,600,300,10.4,600,300,2
2321,300,300,6.4,300,0,2
2322,300,300,6.4,300,0,2
2323,600,300,6.4,600,0,2
2324,300,300,4.8,300,0,2
2325,300,300,6.4,300,300,2
2326,600,300,6.4,600,0,2
2327,300,300,4,300,0,2
2328,600,300,8.4,600,0,2
2329,300,300,4,300,0,2
2330,300,300,4,300,0,2
2331,600,300,18.4,600,30900,2
2332,600,300,10,600,8400,2
2333,600,300,15.6,600,900,2
2334,600,300,12,600,16200,2
2335,600,300,9.2,600,0,2
2336,600,600,12,600,0,2
2337,300,300,33.6,300,6300,2
2338,300,600,40,300,300,2
2339,300,0,11.6,300,100800,2
2340,600,900,26,600,2400,2
2341,600,300,21.6,600,2100,2
2342,600,300,5.2,600,0,2
2343,600,900,17.2,600,1500,2
2344,600,300,4.8,600,45900,2
2345,1200,300,10.8,1200,6600,2
2346,300,300,28.4,300,1500,2
2347,600,300,24,600,1200,2
2348,1200,1200,12.8,1200,5100,2
2349,600,300,12.8,600,0,2
2350,300,300,15.6,300,0,2
2351,300,300,15.6,300,0,2
2352,300,1200,34,300,1200,2
2353,900,300,15.2,900,2400,2
2354,300,0,7.2,300,3600,2
2355,300,0,9.2,300,0,2
2356,300,0,5.6,300,600,2
2357,600,900,22.8,600,600,2
2358,600,900,7.6,600,17700,2
2359,300,0,4.4,300,600,2
2360,300,600,35.6,300,32400,2
2361,600,300,17.6,600,300,2
2362,300,0,5.6,300,31800,2
2363,300,900,10.8,300,0,2
2364,600,300,13.6,600,0,2
2365,600,300,5.6,600,1800,2
2366,600,600,10.8,600,0,2
2367,600,300,4.4,600,118500,2
2368,300,300,4.4,300,6300,2
2369,600,300,4.8,600,300,2
2370,600,300,6.8,600,0,2
2371,300,300,5.6,300,0,2
2372,600,300,30.8,600,9600,2
2373,300,900,41.6,300,6900,2
2374,300,300,9.2,300,9900,2
2375,600,300,11.2,600,0,2
2376,600,600,7.2,600,0,2
2377,600,300,7.2,600,300,2
2378,600,300,5.6,600,300,2
2379,600,300,7.2,600,0,2
2380,600,300,7.2,600,0,2
2381,600,300,4.8,600,600,2
2382,600,300,4.8,600,300,2
2383,600,300,6.4,600,900,2
2384,600,600,6,600,300,2
2385,900,300,4.8,900,1500,2
2386,600,600,4.8,600,300,2
2387,600,300,5.2,600,3000,2
2388,900,300,4.4,900,3000,2
2389,300,0,4,300,14100,2
2390,600,300,4,600,300,2
2391,1200,300,40,1200,4500,2
2392,600,900,32,600,0,2
2393,600,1200,45.2,600,0,2
2394,600,1200,45.2,600,0,2
2395,900,600,38.8,900,2400,2
2396,300,900,45.2,300,0,2
2397,900,0,17.2,900,300,2
2398,600,300,8.8,600,0,2
2399,600,600,8.8,600,0,2
2400,600,300,6,600,900,2
2401,300,300,4.4,300,0,2
2402,600,300,4.4,600,600,2
2403,300,300,4.4,300,300,2
2404,600,300,5.2,600,17400,2
2405,300,0,3.6,300,1500,2
2406,300,0,4,300,1200,2
2407,300,300,4.8,300,5700,2
2408,300,0,4,300,16200,2
2409,600,600,13.6,600,3000,2
2410,300,900,19.2,300,600,2
2411,600,600,14,600,18900,2
2412,300,0,11.6,300,0,2
2413,600,300,4.8,600,14700,2
2414,600,300,4.8,600,300,2
2415,300,300,4.81,300,0,2
2416,300,300,4.01,300,1800,2
2417,300,0,3.21,300,2700,2
2418,900,300,4.41,900,1200,2
2419,300,0,4.01,300,5400,2
2420,300,0,4.01,300,600,2
2421,300,0,3.21,300,900,2
2422,300,0,3.21,300,1200,2
2423,300,300,3.61,300,0,2
2424,300,0,6.01,300,103500,2
2425,600,300,22.81,600,0,2
2426,600,900,15.61,600,0,2
2427,600,600,15.61,600,1200,2
2428,600,600,22.81,600,0,2
2429,900,300,6.01,900,0,2
2430,300,0,4.41,300,300,2
2431,300,0,4.41,300,0,2
2432,600,900,42.41,600,1200,2
2433,600,900,49.61,600,1800,2
2434,600,900,42.41,600,0,2
2435,300,1200,42.41,300,0,2
2436,600,900,42.41,600,300,2
2437,900,600,15.61,900,0,2
2438,900,1500,9.61,900,0,2
2439,300,300,4.81,300,600,2
2440,600,300,6.81,600,300,2
2441,600,300,4.81,600,0,2
2442,300,300,4.01,300,0,2
2443,600,600,4.81,600,300,2
2444,300,0,3.21,300,0,2
2445,600,300,4.81,600,600,2
2446,600,300,4.81,600,300,2
2447,600,300,4.81,600,0,2
2448,600,300,3.61,600,1500,2
2449,300,300,3.21,300,1500,2
2450,600,300,5.21,600,0,2
2451,300,300,3.61,300,0,2
2452,300,0,3.21,300,300,2
2453,300,0,3.21,300,0,2
2454,600,600,6.01,600,300,2
2455,600,300,4.01,600,0,2
2456,600,300,4.81,600,300,2
2457,300,300,3.61,300,0,2
2458,300,0,3.6,300,600,2
2459,300,0,3.6,300,600,2
2460,300,300,4.4,300,2100,2
2461,600,0,5.2,600,600,2
2462,300,300,3.6,300,0,2
2463,600,300,4,600,600,2
2464,600,600,10.8,600,57600,2
2465,600,300,10.8,600,900,2
2466,600,300,8.8,600,600,2
2467,600,300,8.8,600,1200,2
2468,300,0,4,300,76500,2
2469,600,900,8.8,600,4200,2
2470,600,1200,6.4,600,600,2
2471,600,1200,6,600,300,2
2472,300,300,4.8,300,361800,2
2473,300,300,8.8,300,40800,2
2474,900,900,24,900,4500,2
2475,600,600,5.2,600,0,2
2476,600,600,5.2,600,292800,2
2477,600,300,4.4,600,600,2
2478,600,300,3.6,600,300,2
2479,300,0,9.6,300,6000,2
2480,600,300,7.2,600,0,2
2481,600,600,4,600,148500,2
2482,600,300,11.6,600,48600,2
2483,600,300,16.8,600,600,2
2484,300,0,14,300,0,2
2485,600,300,6,600,0,2
2486,300,300,11.6,300,0,2
2487,600,300,4.4,600,0,2
2488,300,300,6,300,0,2
2489,600,300,4.4,600,900,2
2490,300,1200,7.2,300,600,2
2491,900,600,6,900,0,2
2492,600,600,6,600,300,2
2493,300,0,6,300,0,2
2494,300,300,4,300,14400,2
2495,600,300,4.4,600,9600,2
2496,600,300,4,600,600,2
2497,600,600,4.4,600,900,2
2498,300,300,3.6,300,2100,2
2499,300,0,6.02,300,3600,2
2500,600,300,4.82,600,600,2
2501,300,300,6.82,300,900,2
2502,1200,14700,5.22,1200,0,2
2503,300,300,5.62,300,3900,2
2504,300,300,4.42,300,0,2
2505,300,300,4.42,300,1500,2
2506,600,300,4.42,600,300,2
2507,300,0,3.62,300,300,2
2508,300,0,5.62,300,2700,2
2509,300,300,4.42,300,56700,2
2510,300,300,5.62,300,28800,2
2511,300,300,7.62,300,900,2
2512,600,600,5.62,600,1500,2
2513,300,300,4.02,300,300,2
2514,300,0,3.6,300,16200,2
2515,300,0,3.6,300,6000,2
2516,300,300,4,300,1200,2
2517,300,0,3.6,300,4800,2
2518,600,300,4.4,600,1200,2
2519,600,300,5.6,600,600,2
2520,600,300,4.4,600,300,2
2521,2100,300,6.8,2100,8400,2
2522,300,600,13.6,300,900,2
2523,900,300,13.6,900,0,2
2524,600,300,20.8,600,0,2
2525,300,900,20.8,300,0,2
2526,600,900,20.8,600,900,2
2527,600,600,13.6,600,0,2
2528,300,1200,13.6,300,900,2
2529,300,900,12,300,0,2
2530,1200,900,7.6,1200,6600,2
2531,600,1200,12,600,0,2
2532,300,900,10,300,0,2
2533,600,300,6.8,600,0,2
2534,600,300,6,600,0,2
2535,900,600,6.8,900,0,2
2536,600,600,6,600,0,2
2537,300,300,4,300,0,2
2538,600,300,4,600,600,2
2539,600,600,5.6,600,600,2
2540,300,0,4,300,0,2
2541,300,0,4,300,900,2
2542,300,0,3.6,300,15000,2
2543,600,300,4.4,600,900,2
2544,600,300,5.6,600,4500,2
2545,600,300,4,600,0,2
2546,600,300,6,600,0,2
2547,300,300,4,300,1800,2
2548,600,900,6.6,600,900,2
2549,600,300,4.81,600,0,2
2550,600,300,4.81,600,600,2
2551,300,300,4.81,300,1800,2
2552,600,300,18.41,600,1500,2
2553,300,300,15.21,300,0,2
2554,600,300,11.61,600,300,2
2555,600,1200,23.61,600,23400,2
2556,600,300,8.41,600,0,2
2557,600,600,7.21,600,0,2
2558,300,300,6.01,300,0,2
2559,600,600,6.81,600,0,2
2560,600,300,4.41,600,0,2
2561,900,1800,6.01,900,600,2
2562,600,300,4.41,600,0,2
2563,600,300,5.2,600,22500,2
2564,300,300,4,300,4200,2
2565,600,300,5.2,600,900,2
2566,600,300,4.4,600,1800,2
2567,1200,300,12.4,1200,7200,2
2568,300,300,8,300,0,2
2569,600,300,23.6,600,22800,2
2570,900,1200,16.4,900,0,2
2571,300,900,7.6,300,1200,2
2572,600,600,7.6,600,0,2
2573,600,300,4,600,0,2
2574,600,300,4,600,600,2
2575,600,300,4.8,600,600,2
2576,300,300,4,300,2700,2
2577,600,300,4.4,600,600,2
2578,600,300,4.8,600,600,2
2579,300,600,4.8,300,3300,2
2580,600,300,4.4,600,3000,2
2581,600,300,4.8,600,600,2
2582,600,300,5.2,600,3600,2
2583,600,300,4,600,300,2
2584,600,300,3.6,600,2400,2
2585,300,0,4.4,300,2400,2
2586,300,300,4.4,300,1200,2
2587,300,0,4.4,300,5100,2
2588,900,300,21.2,900,1500,2
2589,600,0,16.4,600,0,2
2590,600,300,16.4,600,3600,2
2591,300,0,8.4,300,600,2
2592,600,300,20,600,900,2
2593,600,900,28.8,600,5400,2
2594,600,300,20,600,0,2
2595,600,900,15.6,600,0,2
2596,600,600,12.8,600,0,2
2597,600,300,15.6,600,0,2
2598,600,900,12.8,600,0,2
2599,600,600,10,600,0,2
2600,600,300,6,600,0,2
2601,600,600,5.2,600,300,2
2602,600,300,5.2,600,300,2
2603,600,600,5.2,600,0,2
2604,600,300,4.8,600,6600,2
2605,300,300,4.4,300,3900,2
2606,600,300,4.4,600,6600,2
2607,300,300,3.6,300,2100,2
2608,300,0,3.6,300,2700,2
2609,600,600,4.8,600,6000,2
2610,600,300,3.6,600,300,2
2611,1200,3000,14.4,1200,5700,2
2612,900,1200,17.2,900,0,2
2613,600,0,26,600,0,2
2614,900,1200,13.6,900,0,2
2615,600,300,13.6,600,0,2
2616,600,900,30.4,600,600,2
2617,600,300,16,600,0,2
2618,1200,300,16,1200,1500,2
2619,600,900,13.2,600,0,2
2620,600,300,19.6,600,300,2
2621,300,300,5.2,300,0,2
2622,600,1800,19.6,600,300,2
2623,300,300,8.8,300,0,2
2624,600,300,13.2,600,0,2
2625,600,300,5.2,600,0,2
2626,600,300,3.6,600,0,2
2627,600,300,4.4,600,600,2
2628,600,600,4.4,600,300,2
2629,600,300,4.4,600,300,2
2630,300,0,3.6,300,3000,2
2631,300,300,4,300,900,2
2632,300,300,3.6,300,4200,2
2633,300,0,3.6,300,900,2
2634,300,0,5.2,300,30900,2
2635,1200,300,11.6,1200,0,2
2636,300,300,10.4,300,0,2
2637,600,300,12.8,600,0,2
2638,600,900,16,600,0,2
2639,300,300,6,300,0,2
2640,600,300,7.6,600,0,2
2641,600,300,7.6,600,0,2
2642,600,600,7.6,600,0,2
2643,600,300,7.6,600,300,2
2644,600,300,6,600,300,2
2645,300,900,16,300,2100,2
2646,300,300,12.8,300,300,2
2647,600,600,10,600,300,2
2648,300,0,4.4,300,900,2
2649,300,900,16,300,1200,2
2650,600,300,7.6,600,0,2
2651,600,300,10,600,0,2
2652,300,0,3.6,300,2700,2
2653,600,300,4.8,600,2700,2
2654,300,0,3.21,300,6600,2
2655,300,300,3.6,300,5400,2
2656,300,0,3.8,300,5100,2
2657,300,300,3.6,300,5700,2
2658,600,300,3.6,600,10200,2
2659,600,300,5.2,600,8100,2
2660,600,300,10.8,600,0,2
2661,600,0,20.4,600,0,2
2662,300,0,7.6,300,0,2
2663,600,300,15.6,600,900,2
2664,300,0,4,300,0,2
2665,900,3000,23.2,900,0,2
2666,900,2100,19.2,900,0,2
2667,600,1200,20.8,600,0,2
2668,900,600,20.8,900,0,2
2669,600,900,25.2,600,0,2
2670,1200,1500,25.2,1200,0,2
2671,600,1200,13.2,600,0,2
2672,600,300,4.4,600,1500,2
2673,300,300,4,300,9600,2
2674,600,300,4,600,1200,2
2675,600,600,5.2,600,7800,2
2676,300,300,4,300,300,2
2677,600,600,5.2,600,1200,2
2678,600,300,4,600,0,2
2679,600,900,4.8,600,900,2
2680,600,300,4.4,600,2700,2
2681,300,0,3.6,300,1200,2
2682,300,300,4,300,13500,2
2683,2100,300,16.8,2100,0,2
2684,900,300,14,900,0,2
2685,600,900,14,600,0,2
2686,1800,300,21.6,1800,600,2
2687,1200,600,14,1200,0,2
2688,900,1200,18,900,0,2
2689,600,600,22,600,0,2
2690,900,1500,14.8,900,2100,2
2691,600,600,4.4,600,1200,2
2692,900,300,11.6,900,600,2
2693,900,300,6.8,900,0,2
2694,300,300,4,300,0,2
2695,300,0,4,300,1500,2
2696,900,300,4.4,900,1800,2
2697,300,300,3.6,300,7200,2
2698,600,300,11.6,600,36300,2
2699,600,1200,30.4,600,600,2
2700,300,0,18,300,1200,2
2701,300,600,21.2,300,8100,2
2702,600,900,18,600,300,2
2703,900,600,26,900,2400,2
2704,900,3000,14.4,900,1500,2
2705,300,0,4,300,1500,2
2706,600,1200,7.6,600,300,2
2707,600,300,5.2,600,52200,2
2708,600,300,4,600,300,2
2709,600,300,3.6,600,2700,2
2710,300,300,4,300,600,2
2711,300,0,4.8,300,1500,2
2712,300,600,4.8,300,0,2
2713,600,600,4.8,600,3000,2
2714,300,0,3.6,300,6000,2
2715,600,300,5.2,600,3300,2
2716,600,300,4.8,600,0,2
2717,300,600,4.8,300,300,2
2718,300,0,4,300,2700,2
2719,600,300,4,600,900,2
2720,300,0,4,300,600,2
2721,300,0,3.6,300,6600,2
2722,300,0,3.6,300,3300,2
2723,300,0,3.6,300,35700,2
2724,600,300,4.4,600,1200,2
2725,600,300,3.6,600,600,2
2726,600,600,4.8,600,600,2
2727,600,300,5.6,600,1800,2
2728,300,0,3.6,300,1200,2
2729,300,0,3.6,300,3600,2
2730,600,300,4.4,600,10200,2
2731,300,300,4.8,300,1800,2
2732,300,0,4.4,300,0,2
2733,600,0,4.4,600,3300,2
2734,600,900,4.6,600,300,2
2735,600,300,3.8,600,300,2
2736,600,300,12,600,52200,2
2737,600,1500,18.4,600,14700,2
2738,900,300,14.4,900,4200,2
2739,900,300,8.8,900,0,2
2740,600,300,6.8,600,0,2
2741,600,900,10.8,600,600,2
2742,600,600,3.6,600,0,2
2743,300,0,3.6,300,900,2
2744,600,600,4.4,600,1500,2
2745,300,0,3.6,300,1800,2
2746,300,300,3.6,300,11100,2
2747,600,300,4,600,25500,2
2748,300,0,13.2,300,600,2
2749,900,600,7.2,900,0,2
2750,600,300,6.8,600,0,2
2751,600,300,10,600,1800,2
2752,1200,300,18.8,1200,1500,2
2753,300,900,18.8,300,0,2
2754,600,900,18.8,600,600,2
2755,600,300,7.2,600,13800,2
2756,600,300,5.6,600,1500,2
2757,300,300,4,300,1500,2
2758,300,300,3.6,300,900,2
2759,300,0,3.6,300,3300,2
2760,900,300,4.4,900,1200,2
2761,600,300,4.4,600,2100,2
2762,600,300,4,600,4200,2
2763,600,300,4,600,1800,2
2764,600,0,14.8,600,30000,2
2765,600,1200,10,600,0,2
2766,600,300,12.8,600,5100,2
2767,600,600,9.6,600,5700,2
2768,600,0,5.6,600,6000,2
2769,600,600,4,600,600,2
2770,900,900,5.2,900,54000,2
2771,600,300,10,600,6900,2
2772,300,300,12.4,300,1800,2
2773,300,600,32.8,300,0,2
2774,900,2100,18.4,900,300,2
2775,900,300,16,900,0,2
2776,600,300,16,600,600,2
2777,900,1200,10.4,900,2100,2
2778,900,300,13.2,900,2400,2
2779,600,900,5.6,600,300,2
2780,900,600,4.8,900,0,2
2781,300,0,3.6,300,12900,2
2782,300,0,4,300,28200,2
2783,300,0,15.6,300,8100,2
2784,300,600,15.6,300,0,2
2785,1200,2100,31.6,1200,0,2
2786,1200,300,37.2,1200,0,2
2787,900,1500,20.8,900,0,2
2788,600,300,26.4,600,600,2
2789,600,300,16.8,600,0,2
2790,900,900,9.2,900,6000,2
2791,300,300,3.6,300,300,2
2792,300,300,3.6,300,0,2
2793,300,600,9.2,300,1500,2
2794,300,300,5.6,300,0,2
2795,300,300,5.6,300,0,2
2796,300,300,5.6,300,0,2
2797,600,300,3.6,600,300,2
2798,600,300,3.6,600,0,2
2799,600,600,4.8,600,600,2
2800,300,0,3.6,300,0,2
2801,300,0,4.4,300,1800,2
2802,300,0,4.4,300,1200,2
2803,300,300,4,300,2100,2
2804,600,300,4.8,600,3600,2
2805,300,0,4,300,300,2
2806,300,0,3.6,300,0,2
2807,600,300,4.8,600,3000,2
2808,300,0,3.4,300,4800,2
2809,300,0,3.4,300,3600,2
2810,1200,3300,19,1200,16800,2
2811,1200,300,19,1200,300,2
2812,600,900,34.6,600,300,2
2813,900,300,19,900,900,2
2814,900,600,15,900,0,2
2815,600,1500,25.4,600,300,2
2816,300,300,7.4,300,600,2
2817,600,1200,13.8,600,0,2
2818,600,900,7.4,600,600,2
2819,300,300,5.4,300,0,2
2820,600,300,5.4,600,0,2
2821,900,300,7.4,900,600,2
2822,300,0,4.6,300,300,2
2823,300,0,4.2,300,300,2
2824,600,600,5,600,300,2
2825,300,300,5,300,300,2
2826,900,300,3.8,900,300,2
2827,300,300,3.4,300,11400,2
2828,300,300,4.4,300,6900,2
2829,600,300,4.4,600,1500,2
2830,600,300,4.6,600,3000,2
2831,1800,0,11.4,1800,18000,2
2832,600,300,11.4,600,300,2
2833,300,600,21,300,0,2
2834,1800,0,15,1800,0,2
2835,900,600,19,900,0,2
2836,600,900,33.8,600,1200,2
2837,600,300,15,600,0,2
2838,600,1500,15,600,0,2
2839,600,900,18.2,600,1800,2
2840,600,1500,18.2,600,0,2
2841,600,300,6.2,600,0,2
2842,600,300,6.2,600,0,2
2843,600,600,6.2,600,0,2
2844,600,300,4.6,600,300,2
2845,300,300,10.2,300,0,2
2846,1200,300,7.4,1200,0,2
2847,600,600,5.8,600,300,2
2848,600,900,5.8,600,0,2
2849,600,600,4.2,600,300,2
2850,600,300,3.8,600,3600,2
2851,300,0,3.6,300,3600,2
2852,600,300,4.4,600,2100,2
2853,600,300,4.01,600,3000,2
2854,300,0,3.21,300,9000,2
2855,1800,0,23.6,1800,15000,2
2856,300,300,20,300,0,2
2857,600,300,15.6,600,0,2
2858,300,300,24.8,300,0,2
2859,600,1200,35.2,600,0,2
2860,600,1200,35.2,600,0,2
2861,600,600,19.6,600,0,2
2862,900,1200,19.6,900,0,2
2863,600,600,8,600,600,2
2864,600,900,18.4,600,900,2
2865,600,900,12,600,4200,2
2866,600,300,6.4,600,300,2
2867,300,900,15.2,300,0,2
2868,300,300,10,300,300,2
2869,300,0,10,300,0,2
2870,600,300,6,600,0,2
2871,600,600,6,600,0,2
2872,300,300,6,300,0,2
2873,600,300,4,600,8400,2
2874,600,300,4,600,15300,2
2875,600,0,7.6,600,18900,2
2876,900,1500,14.4,900,0,2
2877,600,600,7.6,600,300,2
2878,1500,300,12,1500,0,2
2879,600,900,12,600,0,2
2880,600,300,10,600,0,2
2881,600,600,7.6,600,0,2
2882,600,900,10,600,0,2
2883,600,300,4,600,300,2
2884,600,600,18.41,600,3600,2
2885,300,600,13.6,300,300,2
2886,600,1500,19.2,600,1200,2
2887,300,300,4,300,0,2
